Date,AMZN,PG,XOM,BRK_B,JNJ,BA,DWDP,AMT,AAPL,NEE,XL,PLD,HIG,WMT
2015-12-21,664.51001,74.119522,71.887665,131.190002,96.286194,132.596832,48.803909,92.266235,103.332298,96.629082,36.00882,39.527515,40.830074,56.411278
2015-12-22,663.150024,74.729759,72.250557,133.139999,97.357307,133.989639,49.311382,93.096603,103.236031,97.205261,37.148933,39.687889,41.668064,57.349098
2015-12-23,663.700012,75.030174,74.61393,134.149994,98.096649,135.570618,50.297611,95.104912,104.564606,98.215942,37.490974,39.989769,41.764381,57.87011
2015-12-24,662.789978,74.908127,73.813736,133.889999,98.314667,135.071838,50.086964,94.757317,104.006226,98.168716,37.852013,40.055805,42.053337,57.623817
2015-12-28,675.200012,75.030174,73.264755,133.119995,97.840721,136.022354,50.010357,94.979393,102.841293,98.22538,37.871014,40.48032,41.889599,57.548031
2015-12-29,693.969971,75.44326,73.655548,134.139999,98.608513,138.666763,50.546566,95.983543,104.689766,98.848801,38.393562,41.102955,42.486778,58.362709
2015-12-30,689.070007,75.170998,72.678558,133.259995,98.371552,137.782135,49.464588,94.718689,103.322678,99.094398,37.833004,40.791645,42.226719,58.429012
2015-12-31,675.890015,74.551392,72.529686,132.039993,97.366783,136.069382,49.292236,93.608322,101.339394,98.130936,37.224945,40.489758,41.860699,58.069035
2016-01-04,636.98999,73.57502,72.073769,130.75,95.24353,132.220398,47.808105,93.366951,101.426033,97.82869,36.303345,39.527515,41.119034,58.220604
2016-01-05,633.789978,73.809723,72.687859,131.25,95.64164,132.756836,47.444252,95.211121,98.884369,98.782677,36.379353,40.357685,41.77401,59.603657
2016-01-06,632.650024,73.096214,72.083069,131.330002,95.158203,130.648804,46.400578,94.873184,96.949242,98.461525,36.065823,40.140709,40.685596,60.200451
2016-01-07,607.940002,72.457817,70.929298,129.479996,94.049194,125.171791,44.657921,92.507622,92.857529,98.896027,35.315243,39.093559,39.683868,61.60244
2016-01-08,607.049988,71.321861,69.496376,128.330002,93.044434,122.329765,44.313217,90.982094,93.348541,99.339973,34.631172,38.744511,39.154106,60.190979
2016-01-11,617.73999,71.979019,68.565903,128.360001,92.485176,122.536804,43.470619,91.223465,94.860062,99.727249,34.289139,38.697346,39.414169,60.835136
2016-01-12,617.890015,71.828819,69.970909,128.800003,93.120255,124.146019,42.886543,91.223465,96.236794,99.53833,34.137115,38.386024,39.847607,60.266758
2016-01-13,581.809998,71.209198,70.389618,126.25,91.963829,120.569962,41.775837,88.973778,93.762527,98.820473,33.282017,38.206791,38.614719,58.656364
2016-01-14,593,71.490845,73.618332,128.070007,93.736382,121.586304,42.359921,89.031708,95.813171,99.831161,33.690571,37.404915,38.768829,59.736279
2016-01-15,570.179993,70.392426,72.185417,126.139999,91.944885,118.226685,41.134312,85.343376,93.512207,99.425003,33.728573,36.612476,37.64188,58.665836
2016-01-19,574.47998,72.035347,71.087471,127.760002,92.418823,118.63134,40.282139,87.776527,93.059715,101.833626,33.614563,36.829456,37.670776,59.26263
2016-01-20,571.77002,71.810928,68.091377,124.830002,90.760025,114.942352,39.564011,85.932358,93.184875,99.472214,33.139507,35.291748,36.476406,57.633286
2016-01-21,575.02002,72.653748,68.947395,125.620003,90.940117,116.128113,40.215107,86.917183,92.713127,99.217186,33.244022,35.593632,36.630524,58.618473
